sample;annotation
Продукт творожный с заменителем молочного жира с массовой долей жира 23 % (молочного жира 50 % от общего);[(69, 71, 'B-PERCENT'), (72, 73, 'I-PERCENT'), (90, 92, 'B-PERCENT'), (93, 94, 'I-PERCENT')]
Творог 5 %;[(7, 8, 'B-PERCENT'), (9, 10, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Сметана 19 %;[(8, 10, 'B-PERCENT'), (11, 12, 'I-PERCENT')]
Творог с массовой долей жира 9 %;[(29, 30, 'B-PERCENT'), (31, 32, 'I-PERCENT')]
Йогурт фруктово-ягодный с массовой долей жира 2 % Клубника-земляника ГОСТ 31981-2013;[(46, 47, 'B-PERCENT'), (48, 49, 'I-PERCENT')]
Творог 9 %;[(7, 8, 'B-PERCENT'), (9, 10, 'I-PERCENT')]
Йогурт фруктово-ягодный с массовой долей жира 2 % Вишня-черешня ГОСТ 31981-2013;[(46, 47, 'B-PERCENT'), (48, 49, 'I-PERCENT')]
Биойогурт фруктово-ягодный с массовой долей жира 2 % Северные ягоды ГОСТ 31981-2013;[(49, 50, 'B-PERCENT'), (51, 52, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Сметана отборная с массовой долей жира от 19 % до 25 %;[(42, 44, 'B-PERCENT'), (45, 46, 'I-PERCENT'), (50, 52, 'B-PERCENT'), (53, 54, 'I-PERCENT')]
Концентрат квасного сусла. Содержание сухих веществ 30 %;[(52, 54, 'B-PERCENT'), (55, 56, 'I-PERCENT')]
Сметана с массовой долей жира 20 %;[(30, 32, 'B-PERCENT'), (33, 34, 'I-PERCENT')]
Сливки питьевые стерилизованные 10 %;[(32, 34, 'B-PERCENT'), (35, 36, 'I-PERCENT')]
Кефир на живой закваске 1 %;[(24, 25, 'B-PERCENT'), (26, 27, 'I-PERCENT')]
Масло сливочное сладко-сливочное с массовой долей жира от 80 % до 85 %;[(58, 60, 'B-PERCENT'), (61, 62, 'I-PERCENT'), (66, 68, 'B-PERCENT'), (69, 70, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Кефир 3.2 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Кефир 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сыр плавленый колбасный копченый с массовой долей жира в сухом веществе 40 %;[(72, 74, 'B-PERCENT'), (75, 76, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Кефир 3.2 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Масло сливочное сладко-сливочное с массовой долей жира от 80 % до 85 %;[(58, 60, 'B-PERCENT'), (61, 62, 'I-PERCENT'), (66, 68, 'B-PERCENT'), (69, 70, 'I-PERCENT')]
Сливки питьевые ультрапастеризованные 10 %;[(38, 40, 'B-PERCENT'), (41, 42, 'I-PERCENT')]
Творог 5 %;[(7, 8, 'B-PERCENT'), (9, 10, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Кефир 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Сыр фасованный сливочный с массовой долей жира в сухом веществе 50 %;[(64, 66, 'B-PERCENT'), (67, 68, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Масло сливочное сладко-сливочное с массовой долей жира от 50 % до 79 %;[(58, 60, 'B-PERCENT'), (61, 62, 'I-PERCENT'), (66, 68, 'B-PERCENT'), (69, 70, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Молоко питьевое топлёное 4 %;[(25, 26, 'B-PERCENT'), (27, 28, 'I-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Сметана 20 %;[(8, 10, 'B-PERCENT'), (11, 12, 'I-PERCENT')]
Сметана 30 %;[(8, 10, 'B-PERCENT'), (11, 12, 'I-PERCENT')]
Творог 18 %;[(7, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Творог 9 %;[(7, 8, 'B-PERCENT'), (9, 10, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Творог ГОСТ 31453-2013 массовая доля жира 5 %;[(42, 43, 'B-PERCENT'), (44, 45, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сыр плавленый с массовой долей жира в сухом веществе 60 %;[(53, 55, 'B-PERCENT'), (56, 57, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Творог массовой долей жира 1 %;[(27, 28, 'B-PERCENT'), (29, 30, 'I-PERCENT')]
Масло сливочное сладко-сливочное с массовой долей жира от 80 % до 85 %;[(58, 60, 'B-PERCENT'), (61, 62, 'I-PERCENT'), (66, 68, 'B-PERCENT'), (69, 70, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 1.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое ультрапастеризованное с массовой долей жира 6 %;[(60, 61, 'B-PERCENT'), (62, 63, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Сыры с МДЖ в сухом веществе 50 %;[(28, 30, 'B-PERCENT'), (31, 32, 'I-PERCENT')]
Сметана 20 % жирности;[(8, 10, 'B-PERCENT'), (11, 12, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.6 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сыр «Брест-Литовск Классический» массовой долей жира в сухом веществе 45 % фасованный (нарезка-брусок);[(70, 72, 'B-PERCENT'), (73, 74, 'I-PERCENT')]
Масло сливочное сладко-сливочное с массовой долей жира от 80 % до 85 %;[(58, 60, 'B-PERCENT'), (61, 62, 'I-PERCENT'), (66, 68, 'B-PERCENT'), (69, 70, 'I-PERCENT')]
Йогурты питьевые обогащённые бифидобактериями массовой долей жира 2 %;[(66, 67, 'B-PERCENT'), (68, 69, 'I-PERCENT')]
Творог зерненый массовой долей жира 3 %;[(36, 37, 'B-PERCENT'), (38, 39, 'I-PERCENT')]
Сметана массовой долей жира 15 %;[(28, 30, 'B-PERCENT'), (31, 32, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сыр творожный с массовой долей жира в сухом веществе 60 %;[(53, 55, 'B-PERCENT'), (56, 57, 'I-PERCENT')]
Шоколад горький десертный 72 %;[(26, 28, 'B-PERCENT'), (29, 30, 'I-PERCENT')]
Масло сливочное сладко-сливочное с массовой долей жира от 80 % до 85 %;[(58, 60, 'B-PERCENT'), (61, 62, 'I-PERCENT'), (66, 68, 'B-PERCENT'), (69, 70, 'I-PERCENT')]
Масло сливочное сладко-сливочное с массовой долей жира от 50 % до 79 %;[(58, 60, 'B-PERCENT'), (61, 62, 'I-PERCENT'), (66, 68, 'B-PERCENT'), (69, 70, 'I-PERCENT')]
Кефир 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
100 % натуральный растворимый кофе в гранулах;[(0, 3, 'B-PERCENT'), (4, 5, 'I-PERCENT')]
100 % Natural;[(0, 3, 'B-PERCENT'), (4, 5, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
ru:Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(41, 44, 'B-PERCENT'), (45, 46, 'I-PERCENT')]
Шоколад десертный горький 68 %;[(26, 28, 'B-PERCENT'), (29, 30, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
13% красное вино;[(0, 3, 'B-PERCENT')]
ru:Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(41, 44, 'B-PERCENT'), (45, 46, 'I-PERCENT')]
Kéfir 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
en:შოკოლადი კაკაოს მასური წილი 55%;[(31, 34, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
13% red wine;[(0, 3, 'B-PERCENT')]
Сметана 20 %;[(8, 10, 'B-PERCENT'), (11, 12, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 1.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 1.5% пастеризованное;[(38, 42, 'B-PERCENT')]
100 %;[(0, 3, 'B-PERCENT'), (4, 5, 'I-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Сметана с массовой долей жира 10 %;[(30, 32, 'B-PERCENT'), (33, 34, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Молоко питьевое с массовой долей жира от 4.7 до 7 % ультрапастеризованное;[(48, 49, 'B-PERCENT'), (50, 51, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Dark chocolate bar with less than 70% cocoa;[(34, 37, 'B-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Сметана от 15% до 34% жирности;[(11, 14, 'B-PERCENT'), (18, 21, 'B-PERCENT')]
Кефир 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Kefir 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Кефир 3.2 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сметана от 15% до 34% жирности;[(11, 14, 'B-PERCENT'), (18, 21, 'B-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Kefir 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Кефир 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Кефир 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 1.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сметана ХМЗ Столиця смаку 400г 15%;[(31, 34, 'B-PERCENT')]
Сметана от 15% до 34% жирности;[(11, 14, 'B-PERCENT'), (18, 21, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сметана от 15% до 34% жирности;[(11, 14, 'B-PERCENT'), (18, 21, 'B-PERCENT')]
Сметана от 15% до 34% жирности;[(11, 14, 'B-PERCENT'), (18, 21, 'B-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
13% красное вино;[(0, 3, 'B-PERCENT')]
Сметана 20%;[(8, 11, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 1.0% пастеризованное;[(38, 42, 'B-PERCENT')]
10% красное вино;[(0, 3, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Smetana with 15% fat;[(13, 16, 'B-PERCENT')]
en:Smetana with 15% to 34% fat;[(16, 19, 'B-PERCENT'), (23, 26, 'B-PERCENT')]
13% red wine;[(0, 3, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
ru:Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(41, 45, 'B-PERCENT')]
2 %;[(0, 1, 'B-PERCENT'), (2, 3, 'I-PERCENT')]
Молоко питьевое пастеризованное с массовой долей жира 2.5%;[(54, 58, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % пастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сметана от 15% до 34% жирности;[(11, 14, 'B-PERCENT'), (18, 21, 'B-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Сметана от 15% до 34% жирности;[(11, 14, 'B-PERCENT'), (18, 21, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Kefir 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Kefir 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Kefir 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Сметана от 15% до 34% жирности;[(11, 14, 'B-PERCENT'), (18, 21, 'B-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Кефир 3.2 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Кефир 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Молоко 2% жирности;[(7, 9, 'B-PERCENT')]
Сметана от 15% до 34% жирности;[(11, 14, 'B-PERCENT'), (18, 21, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Сметана 15%;[(8, 11, 'B-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Carbonated fruit soft drink with sugar and less than 10% of fruit juice;[(53, 56, 'B-PERCENT')]
Сметана от 15% до 34% жирности;[(11, 14, 'B-PERCENT'), (18, 21, 'B-PERCENT')]
400ml;[(0, 5, 'B-VOLUME')]
740ml;[(0, 5, 'B-VOLUME')]
500 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
50 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
50 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
591 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
50 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
1.93 g;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
1,6 л;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
30 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
425 мл, 400 г (нетто), 200 г (осн. продукт);[(8, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME'), (23, 26, 'B-VOLUME'), (27, 28, 'I-VOLUME')]
425 мл, 340 г (нетто), 272 г (осн. продукт);[(8, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME'), (23, 26, 'B-VOLUME'), (27, 28, 'I-VOLUME')]
400 g (нетто), 425 ml, 220 g (основной продукт);[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME'), (23, 26, 'B-VOLUME'), (27, 28, 'I-VOLUME')]
Объём: 425 мл. Масса нетто: 420 г. Масса нетто основного продукта: 200 г.;[(7, 10, 'B-VOLUME'), (11, 14, 'I-VOLUME'), (28, 31, 'B-VOLUME'), (32, 34, 'I-VOLUME'), (67, 70, 'B-VOLUME'), (71, 73, 'I-VOLUME')]
473 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
800 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
250 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
